['0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05']['1:1:0', '1:-3:1']
['0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02']['1:-3:1', '0:-3:2']
['0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00']['0:-3:2', '1:2:1']
['0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07']['1:2:1', '2:0:2']
['0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08']['2:0:2', '1:-1:2']
['0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06']['1:-1:2', '1:-3:2']
['0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16']['1:-3:2', '2:2:1']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11']['2:2:1', '1:1:0']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09']['1:1:0', '2:1:2']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05']['2:1:2', '1:2:0']
