['0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005']['1:-3:1', '1:-1:1']
['0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008']['1:-1:1', '2:1:1']
['0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007']['2:1:1', '1:-3:2']
['0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005']['1:-3:2', '1:-3:1']
['0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011']['1:-3:1', '1:-1:1']
['0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009']['1:-1:1', '2:2:1']
['0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008']['2:2:1', '2:-1:1']
['0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003']['2:-1:1', '1:3:1']
['0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007']['1:3:1', '2:3:0']
['0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012']['2:3:0', '2:-3:1']
