['0.0021:-0.0017:0.0023', '0.003:0.0006:0.0015', '0.0035:-0.0016:0.0002', '0.0002:-0.0115:0.0001', '0.0003:0.0039:0.0047', '0.0012:-0.0009:0.0026', '0.0025:-0.001:0.0018', '0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0']['2:3:2', '1:3:2']
['0.003:0.0006:0.0015', '0.0035:-0.0016:0.0002', '0.0002:-0.0115:0.0001', '0.0003:0.0039:0.0047', '0.0012:-0.0009:0.0026', '0.0025:-0.001:0.0018', '0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003']['1:3:2', '2:1:2']
['0.0035:-0.0016:0.0002', '0.0002:-0.0115:0.0001', '0.0003:0.0039:0.0047', '0.0012:-0.0009:0.0026', '0.0025:-0.001:0.0018', '0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028']['2:1:2', '2:-1:2']
['0.0002:-0.0115:0.0001', '0.0003:0.0039:0.0047', '0.0012:-0.0009:0.0026', '0.0025:-0.001:0.0018', '0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147']['2:-1:2', '2:-1:2']
['0.0003:0.0039:0.0047', '0.0012:-0.0009:0.0026', '0.0025:-0.001:0.0018', '0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187']['2:-1:2', '2:-3:2']
['0.0012:-0.0009:0.0026', '0.0025:-0.001:0.0018', '0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041']['2:-3:2', '2:-2:2']
['0.0025:-0.001:0.0018', '0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063']['2:-2:2', '2:2:1']
['0.0028:-0.0039:0.0044', '0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004']['2:2:1', '2:-3:2']
['0.0012:0.0027:0.0003', '0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067']['2:-3:2', '2:-3:2']
['0.0026:-0.0059:0.0', '0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036']['2:-3:2', '2:-2:2']
['0.0001:-0.0077:0.0003', '0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058']['2:-2:2', '2:3:1']
['0.006:-0.0011:0.0028', '0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074']['2:3:1', '2:3:1']
['0.0037:-0.0056:0.0147', '0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051']['2:3:1', '1:-3:1']
['0.0038:0.0006:0.0187', '0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018']['1:-3:1', '2:2:2']
['0.0025:0.0205:0.0041', '0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049']['2:2:2', '2:3:2']
['0.006:0.0003:0.0063', '0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036']['2:3:2', '2:1:2']
['0.0033:0.0226:0.0004', '0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021']['2:1:2', '2:-1:2']
['0.0021:0.0005:0.0067', '0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036']['2:-1:2', '0:3:1']
['0.0064:0.0063:0.0036', '0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063']['0:3:1', '1:3:2']
['0.0055:0.005:0.0058', '0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035']['1:3:2', '1:3:2']
['0.004:-0.0111:0.0074', '0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072']['1:3:2', '1:3:2']
['0.0069:0.0046:0.0051', '0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043']['1:3:2', '1:-3:2']
['0.0098:-0.0003:0.0018', '0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122']['1:-3:2', '2:-3:2']
['0.0066:-0.0003:0.0049', '0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004']['2:-3:2', '2:3:2']
['0.0027:-0.0083:0.0036', '0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104']['2:3:2', '2:2:2']
['0.0076:-0.0015:0.0021', '0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045']['2:2:2', '2:-3:2']
['0.0058:-0.011:0.0036', '0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018']['2:-3:2', '2:2:2']
['0.0056:-0.0003:0.0063', '0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065']['2:2:2', '2:3:2']
['0.0053:0.0078:0.0035', '0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034']['2:3:2', '2:-1:2']
['0.0016:0.0055:0.0072', '0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033']['2:-1:2', '2:-3:2']
